No;Þirket Adý;Þirket Adý2;Column1;Column2;Column3;Column4;Column5
34;aral toprak kömür ve nakl. i?th. i?hr. san. ti?c. ltd. þti?.;NaN;;;;;
35;arbor ahþap ürünleri?;http://www.arbor.com.tr; NALBURÝYE VE EL ALETLERÝ;PENCERE VE PROFÝL SÝSTEMLERÝ;YAPI KÝMYASALLARI VE YALITIM;;
36;arfen alümi?nyum san. ve ti?c. a.þ.;http://www.arfenaluminyum.com.tr; CEPHE VE ÇATI;KAPI, GEÇÝÞ, AKTARIM VE BÝNA OTOMASYON SÝSTEMLERÝ;MAKÝNE, EKÝPMAN VE BÝLÝÞÝM;PENCERE VE PROFÝL SÝSTEMLERÝ;
37;arfen i?nþ. taah. san. ve ti?c. a.þ.;https://www.arfen.com; HÝZMETLER;PENCERE VE PROFÝL SÝSTEMLERÝ;YAPI MALZEMELERÝ VE YAPIM SÝSTEMLERÝ;ZEMÝN KAPLAMALARI VE DÖÞEME SÝSTEMLERÝ;
38;arfen köprü ve yapi teknoloji?leri? san. ti?c. ltd. þti?.;http://www.arfen.com.tr; HÝZMETLER;MAKÝNE, EKÝPMAN VE BÝLÝÞÝM;YAPI MALZEMELERÝ VE YAPIM SÝSTEMLERÝ;;
39;arg mekani?k mühendi?sli?k baca san. ve ti?c. ltd. þti?.;http://www.argmekanik.com; BANYO, MUTFAK, HAVUZ VE SPA;ISITMA, HAVALANDIRMA, ÝKLÝMLENDÝRME, SU TEKNOLOJÝLERÝ VE ENERJÝ;;;
40;arkitech;http://www.arkitech.com.tr; HÝZMETLER;MAKÝNE, EKÝPMAN VE BÝLÝÞÝM;YAPI MALZEMELERÝ VE YAPIM SÝSTEMLERÝ;;
41;armaðan orman ürünleri? turz. i?nþ. san.ve ti?c.a.þ.;http://www.armaganas.com; CEPHE VE ÇATI;ÇEVRE DÜZENLEME VE KENTSEL TASARIM;YAPI MALZEMELERÝ VE YAPIM SÝSTEMLERÝ;ZEMÝN KAPLAMALARI VE DÖÞEME SÝSTEMLERÝ;
42;arsan kauçuk plasti?k maki?na sanayi? ve ti?caret a.þ.;NaN;;;;;
43;arslanli alçi ve hammaddeleri? san. ti?c. a.þ.;NaN;;;;;
44;as plasti?k san. ti?c. ltd. þti?.;http://www.asplastik.net; BÝNA ÝÇÝ TASARIM VE DEKORASYON;PENCERE VE PROFÝL SÝSTEMLERÝ;YAPI MALZEMELERÝ VE YAPIM SÝSTEMLERÝ;;
45;asder asansör sanayi?ci?leri? derneði?;http://www.asder.org; HÝZMETLER;KAPI, GEÇÝÞ, AKTARIM VE BÝNA OTOMASYON SÝSTEMLERÝ;;;
46;asia home;http://www.hncyapi.com; BÝNA ÝÇÝ TASARIM VE DEKORASYON;HÝZMETLER;YAPI MALZEMELERÝ VE YAPIM SÝSTEMLERÝ;;
47;astekni?k mühendi?sli?k;http://www.asteknik.com; BOYALAR VE BÝTÝRME;PENCERE VE PROFÝL SÝSTEMLERÝ;YAPI KÝMYASALLARI VE YALITIM;ZEMÝN KAPLAMALARI VE DÖÞEME SÝSTEMLERÝ;
48;aydemi?rler gergi? tavan;http://www.aydemirlergergitavan.com; BÝNA ÝÇÝ TASARIM VE DEKORASYON;;;;
49;ayes çeli?k hasir ve çi?t san. a.þ.;http://www.ayescelik.com; YAPI MALZEMELERÝ VE YAPIM SÝSTEMLERÝ;;;;
50;ayrinti reklamcilik metal dekorasyon ti?c. ltd þti?.;http://www.ayrintireklam.com.tr; ÇEVRE DÜZENLEME VE KENTSEL TASARIM;MAKÝNE, EKÝPMAN VE BÝLÝÞÝM;;;
51;azgen turi?zm san. ve ti?c. ltd. þti?.;http://www.mervaks.com; BÝNA ÝÇÝ TASARIM VE DEKORASYON;HÝZMETLER;;;
52;baba yapi san. ti?c. a.þ;NaN;;;;;
53;baksan ambalaj ve ki?myevi? maddeler san ti?c ltd þti?;NaN;;;;;
54;baþat teksti?l i?nþ.ve i?nþ.malz.i?zo.san.diþ ti?c.ltd.þti?.;http://www.watershield.com.tr; BANYO, MUTFAK, HAVUZ VE SPA;CEPHE VE ÇATI;YAPI KÝMYASALLARI VE YALITIM;;
55;baþoðlu orman ürünleri? san. ve ti?c. a.þ.;NaN;;;;;
56;bati þömi?ne ltd. þti?;NaN;;;;;
57;baumees yapi ki?myasallari anoni?m þi?rketi?;http://www.baumees.com.tr; YAPI KÝMYASALLARI VE YALITIM;YAPI MALZEMELERÝ VE YAPIM SÝSTEMLERÝ;;;
