No;Þirket Adý;Þirket Adý2;Column1;Column2;Column3;Column4;Column5
156;gençler tel üreti?m paz. ti?c. ltd. þti?.;NaN;;;;;
157;geoclay madenci?li?k i?th. i?hr. san. ve ti?c. ltd. þti?.;NaN;;;;;
158;geomas geokompozi?t san. müh. ti?c. a.þ.;http://www.geomas.com.tr; HÝZMETLER;YAPI KÝMYASALLARI VE YALITIM;ZEMÝN KAPLAMALARI VE DÖÞEME SÝSTEMLERÝ;;
159;geoser yapi yalitim i?nþ. taah. otom. i?th.i?hr.san. ve ti?c. ltd. þti?.;http://www.geoser.com.tr; YAPI KÝMYASALLARI VE YALITIM;YAPI MALZEMELERÝ VE YAPIM SÝSTEMLERÝ;ZEMÝN KAPLAMALARI VE DÖÞEME SÝSTEMLERÝ;;
160;gerb schwingungsisolierungen gmbh & co. kg;NaN;;;;;
161;global enterprise sunforge i?ç ve diþ ti?c. ltd. þti?.;NaN;;;;;
162;goldfi?x yapi ki?myasallari a.þ.;https://www.goldfix.com.tr;;;;;
163;gootrend sanal maðazacilik ve elektroni?k a.þ.;http://www.gooplast.com; ISITMA, HAVALANDIRMA, ÝKLÝMLENDÝRME, SU TEKNOLOJÝLERÝ VE ENERJÝ;MAKÝNE, EKÝPMAN VE BÝLÝÞÝM;YAPI MALZEMELERÝ VE YAPIM SÝSTEMLERÝ;ZEMÝN KAPLAMALARI VE DÖÞEME SÝSTEMLERÝ;
164;grand çeli?k kapi;http://www.grandcelikkapi.com; KAPI, GEÇÝÞ, AKTARIM VE BÝNA OTOMASYON SÝSTEMLERÝ;MAKÝNE, EKÝPMAN VE BÝLÝÞÝM;YANGIN GÜVENLÝÐI, GÜVENLÝK VE ÝÞ GÜVENLÝÐÝ;;
165;gurbetçi?ler plasti?k san. ve ti?caret a. þ.;http://www.gurbetciler.com.tr; ÇEVRE DÜZENLEME VE KENTSEL TASARIM;PENCERE VE PROFÝL SÝSTEMLERÝ;YAPI MALZEMELERÝ VE YAPIM SÝSTEMLERÝ;ZEMÝN KAPLAMALARI VE DÖÞEME SÝSTEMLERÝ;
166;gürdað trading & industry ltd;https://www.gurdagbrick.com; BÝNA ÝÇÝ TASARIM VE DEKORASYON;CEPHE VE ÇATI;ÇEVRE DÜZENLEME VE KENTSEL TASARIM;SERAMÝK VE DOÐAL TAÞ;YAPI MALZEMELERÝ VE YAPIM SÝSTEMLERÝ
167;gürdal çeli?k kapi a.þ.;http://www.gurdalkapi.com.tr; KAPI, GEÇÝÞ, AKTARIM VE BÝNA OTOMASYON SÝSTEMLERÝ;MAKÝNE, EKÝPMAN VE BÝLÝÞÝM;YANGIN GÜVENLÝÐI, GÜVENLÝK VE ÝÞ GÜVENLÝÐÝ;;
168;halat branda san ti?c aþ;http://www.halatbranda.com.tr; ÇEVRE DÜZENLEME VE KENTSEL TASARIM;MAKÝNE, EKÝPMAN VE BÝLÝÞÝM;YAPI MALZEMELERÝ VE YAPIM SÝSTEMLERÝ;ZEMÝN KAPLAMALARI VE DÖÞEME SÝSTEMLERÝ;
169;han poli?karbon i?nþaat san. ve ti?c. a.þ.;NaN;;;;;
170;han þömi?ne ve baca si?stemleri? i?nþ. san. ti?c. a.þ.;https://www.hansomine.com; BÝNA ÝÇÝ TASARIM VE DEKORASYON;;;;
171;hare grup ahþap yapi si?st. i?nþ. taah. san. ti?c. ltd. þti?.;http://www.haregrup.com.tr; PENCERE VE PROFÝL SÝSTEMLERÝ;YAPI MALZEMELERÝ VE YAPIM SÝSTEMLERÝ;ZEMÝN KAPLAMALARI VE DÖÞEME SÝSTEMLERÝ;;
172;hasan onalt sanayi? ltd.;http://www.onaltgroup.com; BOYALAR VE BÝTÝRME;YAPI KÝMYASALLARI VE YALITIM;;;
173;haþep entegre orman ürünleri? san. ve ti?c. a.þ.;http://www.hasepentegre.com.tr; BANYO, MUTFAK, HAVUZ VE SPA;YAPI MALZEMELERÝ VE YAPIM SÝSTEMLERÝ;ZEMÝN KAPLAMALARI VE DÖÞEME SÝSTEMLERÝ;;
174;haska çeli?k kapi ve mobilya san. ti?c. ltd. þti?.;https://www.haskacelikkapi.com; KAPI, GEÇÝÞ, AKTARIM VE BÝNA OTOMASYON SÝSTEMLERÝ;MAKÝNE, EKÝPMAN VE BÝLÝÞÝM;YANGIN GÜVENLÝÐI, GÜVENLÝK VE ÝÞ GÜVENLÝÐÝ;;
175;hc yassi metal ürünleri? san. ve ti?c. ltd. þti?.;NaN;;;;;
176;hebei jingao fiberglass products co.,ltd;http://www.jingaofiberglass.com; YAPI MALZEMELERÝ VE YAPIM SÝSTEMLERÝ;;;;
177;hg asma tavan ve yapi elen. san. ti?c. ltd. þti?.;NaN;;;;;
178;horoz demi?r san. ti?c. ltd.þti?.;http://www.horozdemir.com;;;;;
179;httf asma germe membran si?stemler;http://www.httf.com.tr; CEPHE VE ÇATI;ÇEVRE DÜZENLEME VE KENTSEL TASARIM;HÝZMETLER;YAPI MALZEMELERÝ VE YAPIM SÝSTEMLERÝ;
180;i?deal kabi?n / vega yapisal;https://www.vegayapisal.com.tr; BÝNA ÝÇÝ TASARIM VE DEKORASYON;ÇEVRE DÜZENLEME VE KENTSEL TASARIM;KAPI, GEÇÝÞ, AKTARIM VE BÝNA OTOMASYON SÝSTEMLERÝ;;
181;i?nanç bant;http://www.inancbant.com; CEPHE VE ÇATI;HÝZMETLER;YANGIN GÜVENLÝÐI, GÜVENLÝK VE ÝÞ GÜVENLÝÐÝ;YAPI KÝMYASALLARI VE YALITIM;
182;inohom akilli ev si?stemleri?;http://www.inohom.com; AYDINLATMA VE ELEKTRÝK;BÝNA ÝÇÝ TASARIM VE DEKORASYON;KAPI, GEÇÝÞ, AKTARIM VE BÝNA OTOMASYON SÝSTEMLERÝ;YANGIN GÜVENLÝÐI, GÜVENLÝK VE ÝÞ GÜVENLÝÐÝ;
183;iþik ahþap profi?l loji?sti?k san. ti?c. a.þ.;NaN;;;;;
184;iþik group;http://www.isikgroup.com; BÝNA ÝÇÝ TASARIM VE DEKORASYON;YAPI KÝMYASALLARI VE YALITIM;;;
185;iþiklar tuðla;https://www.isiklartugla.com.tr; CEPHE VE ÇATI;YANGIN GÜVENLÝÐI, GÜVENLÝK VE ÝÞ GÜVENLÝÐÝ;YAPI KÝMYASALLARI VE YALITIM;YAPI MALZEMELERÝ VE YAPIM SÝSTEMLERÝ;
186;i?s-ka i?skele & kalip;http://www.iskaiskele.com; MAKÝNE, EKÝPMAN VE BÝLÝÞÝM;YAPI MALZEMELERÝ VE YAPIM SÝSTEMLERÝ;;;
187;i?skele kalip sanayi?ci?leri? derneði? (i?ksd);http://www.iksd.com.tr; CEPHE VE ÇATI;;;;
188;isocover - ki?sbu group;http://www.kisbu.com; CEPHE VE ÇATI;YAPI KÝMYASALLARI VE YALITIM;;;
189;i?stanbul i?nþaatçilar derneði? i?kti?sadi? i?þletmesi?;NaN;;;;;
190;i?ston a. þ.;http://www.iston.istanbul; ÇEVRE DÜZENLEME VE KENTSEL TASARIM;MAKÝNE, EKÝPMAN VE BÝLÝÞÝM;;;
191;i?stweld hirdavat ti?c. ltd. þti?.;NaN;;;;;
192;itm kalip san. ve diþ ti?c. ltd. þti?.;http://itm-kalip.com.tr; MAKÝNE, EKÝPMAN VE BÝLÝÞÝM;NALBURÝYE VE EL ALETLERÝ;;;
193;i?zgüç pvc san. ve ti?c. a.þ.;NaN;;;;;
194;i?zofen plasti?k sanayi? ti?c. a.þ;https://www.izofen.com; YAPI KÝMYASALLARI VE YALITIM;;;;
195;i?zole ki?remi?t san. ve ti?c. a.þ.;http://www.izolekiremit.com.tr; CEPHE VE ÇATI;;;;
196;i?zopi?yer;http://www.izopiyer.com.tr; BÝNA ÝÇÝ TASARIM VE DEKORASYON;BOYALAR VE BÝTÝRME;CEPHE VE ÇATI;YAPI KÝMYASALLARI VE YALITIM;
197;i?zoplast hitech panel plasti?k diþ ti?c.a.þ.;http://www.izoplast.com.tr; CEPHE VE ÇATI;YAPI MALZEMELERÝ VE YAPIM SÝSTEMLERÝ;;;
198;jaguar plywood;http://www.jaguarexim.com; MAKÝNE, EKÝPMAN VE BÝLÝÞÝM;YAPI MALZEMELERÝ VE YAPIM SÝSTEMLERÝ;;;
199;java plasti?k san. ve ti?c. a.þ.;http://www.javaboru.com; BANYO, MUTFAK, HAVUZ VE SPA;ISITMA, HAVALANDIRMA, ÝKLÝMLENDÝRME, SU TEKNOLOJÝLERÝ VE ENERJÝ;YAPI MALZEMELERÝ VE YAPIM SÝSTEMLERÝ;;
200;ji?anan i?nþaat i?ç ve diþ ti?c. ltd.þti?;NaN;;;;;
201;jiangsu tianyu fibre co.,ltd;http://www.tyfibre.com; YAPI MALZEMELERÝ VE YAPIM SÝSTEMLERÝ;;;;
202;jiaoyang welding industries hebei co., ltd.;https://www.weldingmachine.cn; MAKÝNE, EKÝPMAN VE BÝLÝÞÝM;;;;
203;kanat el arabasi;http://www.kanat.com; BOYALAR VE BÝTÝRME;NALBURÝYE VE EL ALETLERÝ;;;
204;kapella baca i?nþaat san. ti?c. lt. þt.;http://www.kapellabaca.com; ISITMA, HAVALANDIRMA, ÝKLÝMLENDÝRME, SU TEKNOLOJÝLERÝ VE ENERJÝ;KAPI, GEÇÝÞ, AKTARIM VE BÝNA OTOMASYON SÝSTEMLERÝ;YANGIN GÜVENLÝÐI, GÜVENLÝK VE ÝÞ GÜVENLÝÐÝ;;
205;kaptaþ stone and mosaic doðaltaþ üreti?m pazarlama san. ti?c. ltd. þti?.;NaN;;;;;
206;kar plus i?nþ. mlz san. ve ti?c. ltd. þti?.;http://www.karplus.com.tr; BOYALAR VE BÝTÝRME;CEPHE VE ÇATI;YAPI KÝMYASALLARI VE YALITIM;;
207;karaoðullari yapi taah. gida tarim tur.taþ. san. i?ç ve diþ ti?c. ltd. þti?.;NaN;;;;;
208;karbomi?t poli?mer plasti?k san. ve ti?c. a.þ.;NaN;;;;;
209;karum bi?li?þi?m san. ti?c. ltd. þti?.;http://www.karumbilisim.com; KAPI, GEÇÝÞ, AKTARIM VE BÝNA OTOMASYON SÝSTEMLERÝ;MAKÝNE, EKÝPMAN VE BÝLÝÞÝM;;;
210;kayasu modüler sivi depolama si?stemleri? a.þ.;NaN;;;;;
211;kaygun çeli?k metal;http://www.kaygunmetal.com.tr; BÝNA ÝÇÝ TASARIM VE DEKORASYON;CEPHE VE ÇATI;YANGIN GÜVENLÝÐI, GÜVENLÝK VE ÝÞ GÜVENLÝÐÝ;YAPI MALZEMELERÝ VE YAPIM SÝSTEMLERÝ;ZEMÝN KAPLAMALARI VE DÖÞEME SÝSTEMLERÝ
212;keçeli? tel örgü ve panel çi?t si?stemleri?;http://www.kecelitelorgu.com; CEPHE VE ÇATI;KAPI, GEÇÝÞ, AKTARIM VE BÝNA OTOMASYON SÝSTEMLERÝ;YAPI MALZEMELERÝ VE YAPIM SÝSTEMLERÝ;;
213;kemerli? metal a.þ.;http://www.kemerix.com.tr; YAPI MALZEMELERÝ VE YAPIM SÝSTEMLERÝ;;;;
214;kermi?t plasti?k aþ.;http://www.kermitfloor.com; CEPHE VE ÇATI;ZEMÝN KAPLAMALARI VE DÖÞEME SÝSTEMLERÝ;;;
215;kirimci  metal form san. ti?c. a.þ.;NaN;;;;;
216;kivircik plasti?k san. ti?c. ltd. þti?.;http://www.kivircikpaspas.com.tr; ZEMÝN KAPLAMALARI VE DÖÞEME SÝSTEMLERÝ;;;;
217;köksal kardeþler i?nþ. malz. i?malat san. ti?c. ltd. þti?.;NaN;;;;;
218;kompozi?t sanayi?ci?leri? derneði?;http://www.kompozit.org.tr; HÝZMETLER;;;;
219;konak demi?r çeli?k san. ve ti?c. ltd. þti?.;http://www.konaktel.com.tr; ÇEVRE DÜZENLEME VE KENTSEL TASARIM;;;;
220;kopuzlar eva kauçuk ürünleri? geri? dönüþüm san. ve ti?c. a. þ.;https://www.kopuzlareva.com; YAPI KÝMYASALLARI VE YALITIM;;;;
221;kösedað tel örme a.þ.;http://www.kosedag.com.tr; ÇEVRE DÜZENLEME VE KENTSEL TASARIM;KAPI, GEÇÝÞ, AKTARIM VE BÝNA OTOMASYON SÝSTEMLERÝ;YANGIN GÜVENLÝÐI, GÜVENLÝK VE ÝÞ GÜVENLÝÐÝ;YAPI MALZEMELERÝ VE YAPIM SÝSTEMLERÝ;
222;köster yapi ki?myasallari a.þ.;http://www.koster.com.tr; CEPHE VE ÇATI;YAPI KÝMYASALLARI VE YALITIM;ZEMÝN KAPLAMALARI VE DÖÞEME SÝSTEMLERÝ;;
223;kozeli?ne;http://www.kozeline.com; BANYO, MUTFAK, HAVUZ VE SPA;BÝNA ÝÇÝ TASARIM VE DEKORASYON;KAPI, GEÇÝÞ, AKTARIM VE BÝNA OTOMASYON SÝSTEMLERÝ;ZEMÝN KAPLAMALARI VE DÖÞEME SÝSTEMLERÝ;
224;kule concept;http://www.kuleconcept.com; BÝNA ÝÇÝ TASARIM VE DEKORASYON;CEPHE VE ÇATI;YAPI MALZEMELERÝ VE YAPIM SÝSTEMLERÝ;;
225;kule i?nþaat proje taah ti?c ltd þti?;http://www.kuleconcept.com; BÝNA ÝÇÝ TASARIM VE DEKORASYON;CEPHE VE ÇATI;SERAMÝK VE DOÐAL TAÞ;YAPI MALZEMELERÝ VE YAPIM SÝSTEMLERÝ;
226;kumtel;http://www.kumtel.com; BANYO, MUTFAK, HAVUZ VE SPA;BÝNA ÝÇÝ TASARIM VE DEKORASYON;;;
227;ladi?k orman ürünleri? i?nþ. plasti?k san. ve ti?c. ltd.þti?.;http://ladix.com.tr; BÝNA ÝÇÝ TASARIM VE DEKORASYON;ZEMÝN KAPLAMALARI VE DÖÞEME SÝSTEMLERÝ;;;
228;lamasat group diþ. ti?c. san. ltd. þti?.;http://lamasatgrup.com; BÝNA ÝÇÝ TASARIM VE DEKORASYON;BOYALAR VE BÝTÝRME;CEPHE VE ÇATI;YAPI KÝMYASALLARI VE YALITIM;
229;langfang yuesen aluminum foil composite material co.,ltd.;http://www.lfyuesen.com; CEPHE VE ÇATI;ISITMA, HAVALANDIRMA, ÝKLÝMLENDÝRME, SU TEKNOLOJÝLERÝ VE ENERJÝ;MAKÝNE, EKÝPMAN VE BÝLÝÞÝM;YAPI KÝMYASALLARI VE YALITIM;YAPI MALZEMELERÝ VE YAPIM SÝSTEMLERÝ
230;liang-ping sanitary facility co., ltd.;NaN;;;;;
231;li?der dekorati?f demi?r ürün. nak. i?nþ. san. ti?c. ltd. þti?.;http://www.liderdekoratif.com; BÝNA ÝÇÝ TASARIM VE DEKORASYON;ÇEVRE DÜZENLEME VE KENTSEL TASARIM;HÝZMETLER;YAPI MALZEMELERÝ VE YAPIM SÝSTEMLERÝ;
232;limited liability partnership holz house;http://www.holz-house.ru; YAPI MALZEMELERÝ VE YAPIM SÝSTEMLERÝ;;;;
233;linyi zhongping industrial and trading co.,ltd;NaN;;;;;
234;litong int'l holdings (group) ltd.;https://www.ltcoatingcoil.com; YAPI MALZEMELERÝ VE YAPIM SÝSTEMLERÝ;;;;
235;llc marrob rus;https://www.marrob.ru;;;;;
236;lsk yapisal ahþap ve orman ürün. san. ti?c. ltd. þti?.;https://www.lsk.com.tr; ZEMÝN KAPLAMALARI VE DÖÞEME SÝSTEMLERÝ;;;;
237;luxell a.þ.;https://www.luxell.com.tr; BANYO, MUTFAK, HAVUZ VE SPA;;;;
238;maltepe demi?r;http://www.maltepedemir.com; YANGIN GÜVENLÝÐI, GÜVENLÝK VE ÝÞ GÜVENLÝÐÝ;YAPI MALZEMELERÝ VE YAPIM SÝSTEMLERÝ;;;
239;marselevator diþ ti?c. ve san. a.þ.;http://www.marselevator.com; KAPI, GEÇÝÞ, AKTARIM VE BÝNA OTOMASYON SÝSTEMLERÝ;;;;
240;masi?alux aydinlatma san. ve ti?c. a.þ.;https://www.masialux.com; AYDINLATMA VE ELEKTRÝK;;;;
241;master boya malzemeleri? sanayi? ve ti?caret a.þ.;http://www.masterchem.com.tr; NALBURÝYE VE EL ALETLERÝ;;;;
242;master epoksi? boya elekt. i?nþ. gida san. ve ti?c. ltd. þti?.;https://www.masterepoksi.com; YAPI KÝMYASALLARI VE YALITIM;ZEMÝN KAPLAMALARI VE DÖÞEME SÝSTEMLERÝ;;;
243;mayr-melnhof holz holding ag;http://www.mm-holz.com; MAKÝNE, EKÝPMAN VE BÝLÝÞÝM;YAPI MALZEMELERÝ VE YAPIM SÝSTEMLERÝ;;;
244;medmar stone;https://www.medmar.com.tr; SERAMÝK VE DOÐAL TAÞ;;;;
245;merkür gold;http://www.merkurgold.com; BOYALAR VE BÝTÝRME;YAPI KÝMYASALLARI VE YALITIM;;;
246;merlot mermer san. ti?c. a.þ.;https://www.merlotmermer.com;;;;;
247;mertoðlu kent mobi?lyalari a.þ.;http://www.mertoglu.com.tr; ÇEVRE DÜZENLEME VE KENTSEL TASARIM;;;;
248;metal20 demi?r çeli?k ve sanatsal ürünler san. ve ti?c. a.þ;http://www.metal20.com.tr; BÝNA ÝÇÝ TASARIM VE DEKORASYON;BOYALAR VE BÝTÝRME;ÇEVRE DÜZENLEME VE KENTSEL TASARIM;KAPI, GEÇÝÞ, AKTARIM VE BÝNA OTOMASYON SÝSTEMLERÝ;
249;metamar a.þ;http://www.metamarmarble.com; BANYO, MUTFAK, HAVUZ VE SPA;SERAMÝK VE DOÐAL TAÞ;;;
250;metapanel yapi elemanlari san. ve ti?c. a.þ.;https://www.metapanel.com.tr; CEPHE VE ÇATI;;;;
251;mete panel yapi si?s. tur. otom. i?nþ. taah. ve ti?c. ltd. þti?.;http://www.metepanel.com.tr; BOYALAR VE BÝTÝRME;HÝZMETLER;;;
252;metek yapi si?stemleri? san. ve ti?c. ltd.þti?.;NaN;;;;;
253;mht endustri? metal san ti?c ltd þti?;http://www.mhtendustri.com; MAKÝNE, EKÝPMAN VE BÝLÝÞÝM;;;;
254;mi?lpaþ plasti?k yapi malzemeleri? san. ve ti?c. a.þ.;https://www.milpas.com.tr;;;;;
255;mi?ltaþ i?nþ. ti?c. ve madenci?li?k ti?c. a.þ.;http://www.desentas.com.tr; ZEMÝN KAPLAMALARI VE DÖÞEME SÝSTEMLERÝ;;;;
256;mirka turkey zimpara ltd þti?;http://www.mirka.com.tr; NALBURÝYE VE EL ALETLERÝ;;;;
257;mkb çati si?stemleri?;http://www.mkbmetalkiremit.com; CEPHE VE ÇATI;;;;
258;mks metal kapi ve kepenk si?stemleri? san. ti?c. ltd. þti?.;http://www.mksmetal.com.tr; KAPI, GEÇÝÞ, AKTARIM VE BÝNA OTOMASYON SÝSTEMLERÝ;YANGIN GÜVENLÝÐI, GÜVENLÝK VE ÝÞ GÜVENLÝÐÝ;;;
259;mod tasarim a.þ.;https://www.modtasarim.com; BÝNA ÝÇÝ TASARIM VE DEKORASYON;HÝZMETLER;;;
260;msa spor ve kent eki?pmanlari san. ti?c. ltd. þti?.;NaN;;;;;
261;mwm technic;http://www.mwmtechnic.com; MAKÝNE, EKÝPMAN VE BÝLÝÞÝM;;;;
262;my kompozi?t ltd. þti?.;NaN; CEPHE VE ÇATI;ÇEVRE DÜZENLEME VE KENTSEL TASARIM;;;
263;namsa yapi malzemeleri? san. ti?c. ltd. þti?;https://www.namsa.com.tr;;;;;
264;natilon;https://www.natilon.com; KAPI, GEÇÝÞ, AKTARIM VE BÝNA OTOMASYON SÝSTEMLERÝ;;;;
265;nazan ulaþ;http://www.onnox.com.tr; CEPHE VE ÇATI;ÇEVRE DÜZENLEME VE KENTSEL TASARIM;ZEMÝN KAPLAMALARI VE DÖÞEME SÝSTEMLERÝ;;
266;nd umut elektroni?k metal plasti?k san.ve ti?c. ltd. þti?.;http://www.umutroofwindows.com; CEPHE VE ÇATI;MAKÝNE, EKÝPMAN VE BÝLÝÞÝM;PENCERE VE PROFÝL SÝSTEMLERÝ;;
267;nesa si?stem yapi i?nþ. san. i?ç ve diþ ti?c. aþ.;http://www.nesasistem.com; CEPHE VE ÇATI;YAPI KÝMYASALLARI VE YALITIM;;;
268;netfloor;https://www.netfloor.com.tr; BANYO, MUTFAK, HAVUZ VE SPA;YAPI MALZEMELERÝ VE YAPIM SÝSTEMLERÝ;ZEMÝN KAPLAMALARI VE DÖÞEME SÝSTEMLERÝ;;
269;nextors consult limited liability company;NaN;;;;;
270;ningbo heyuan magnetic industry co.,ltd;NaN;;;;;
271;normo metal;http://www.normo.com.tr; BANYO, MUTFAK, HAVUZ VE SPA;;;;
272;novawood;http://www.novawood.com; BÝNA ÝÇÝ TASARIM VE DEKORASYON;CEPHE VE ÇATI;YAPI MALZEMELERÝ VE YAPIM SÝSTEMLERÝ;ZEMÝN KAPLAMALARI VE DÖÞEME SÝSTEMLERÝ;
273;nt koçak metal san. tarim gida i?nþ. nak. tekst. san. ve ti?c. ltd. þti?.;NaN;;;;;
274;ntn plasti?k i?thalat i?hracat san. ti?c. ltd. þti?.;http://www.pvcasmatavan.net; BOYALAR VE BÝTÝRME;PENCERE VE PROFÝL SÝSTEMLERÝ;;;
275;ökto özel ki?myasallar toptan tedari?k san. ve ti?c. ltd. þti?.;https://www.ozelkim.com; YAPI KÝMYASALLARI VE YALITIM;YAPI MALZEMELERÝ VE YAPIM SÝSTEMLERÝ;;;
276;omni?s kompozi?t ltd.;http://www.omniskompozit.com ; MAKÝNE, EKÝPMAN VE BÝLÝÞÝM;YANGIN GÜVENLÝÐI, GÜVENLÝK VE ÝÞ GÜVENLÝÐÝ;YAPI KÝMYASALLARI VE YALITIM;YAPI MALZEMELERÝ VE YAPIM SÝSTEMLERÝ;
277;onalti metal otomoti?v yan san. ve ti?c. ltd. þti?.;https://www.onaltimetal.com.tr; KAPI, GEÇÝÞ, AKTARIM VE BÝNA OTOMASYON SÝSTEMLERÝ;;;;
278;onmet yapi üreti?m taah. san. ltd. þti?.;http://www.thermosiding.com.tr; BÝNA ÝÇÝ TASARIM VE DEKORASYON;BOYALAR VE BÝTÝRME;CEPHE VE ÇATI;SERAMÝK VE DOÐAL TAÞ;YAPI KÝMYASALLARI VE YALITIM
279;onpo madenci?li?k i?nþaat san. ve ti?c. a.þ.;NaN;;;;;
280;onur ek parçalari ve plasti?k boru san. diþ ti?c. ltd.þti?;http://www.onurpipe.com; BANYO, MUTFAK, HAVUZ VE SPA;;;;
281;onur grup i?nþaat a.þ.;NaN;;;;;
282;ooo bi eks dzhi;NaN;;;;;
283;opal i?nþaat tur. çeli?k konstrüksi?yon san. ti?c. a.þ.;http://www.opalcelik.com; YAPI MALZEMELERÝ VE YAPIM SÝSTEMLERÝ;;;;
284;ottoman sanayi? ve diþ ti?c.a.þ.;http://www.rexon.com.tr; BOYALAR VE BÝTÝRME;YAPI KÝMYASALLARI VE YALITIM;;;
285;özben savunma ltd. þti?.;https://www.ozbensavunma.com;;;;;
286;özdemi?rbaðlar metal i?nþ.amb.plas.i?malat geri? dön. san.ti?c.ltd.þti?.;http://www.ozdemirbaglar.com; CEPHE VE ÇATI;YAPI MALZEMELERÝ VE YAPIM SÝSTEMLERÝ;;;
287;özler kalip ve i?skele si?stemleri?;http://www.ozleriskele.com; HÝZMETLER;MAKÝNE, EKÝPMAN VE BÝLÝÞÝM;YAPI MALZEMELERÝ VE YAPIM SÝSTEMLERÝ;;
288;özseli?n deli?kli? saç san.ve ti?c.ltd.þti?.;http://www.ozselin.com; CEPHE VE ÇATI;HÝZMETLER;ISITMA, HAVALANDIRMA, ÝKLÝMLENDÝRME, SU TEKNOLOJÝLERÝ VE ENERJÝ;;
289;panastone;http://www.panastone.com.tr; BANYO, MUTFAK, HAVUZ VE SPA;BÝNA ÝÇÝ TASARIM VE DEKORASYON;BOYALAR VE BÝTÝRME;SERAMÝK VE DOÐAL TAÞ;
290;pandomur mobilier & design srl;http://www.homofaber.ro; BANYO, MUTFAK, HAVUZ VE SPA;BÝNA ÝÇÝ TASARIM VE DEKORASYON;;;
291;panelder - yalitimli konti?nü panel üreti?ci?leri? derneði?;http://www.panelder.org; CEPHE VE ÇATI;HÝZMETLER;;;
292;pencere ve kapi sektörü derneði? (pükad);http://www.pukad.org; HÝZMETLER;;;;
293;pencere yayincilik;http://www.pencerecephedergisi.com; HÝZMETLER;;;;
294;penmati?k havalandirma kli?ma hirdavat i?nþaat ve diþ ti?c. ltd. þti?.;NaN;;;;;
295;petek kontrplak;http://www.petekkontrplak.com; MAKÝNE, EKÝPMAN VE BÝLÝÞÝM;YAPI MALZEMELERÝ VE YAPIM SÝSTEMLERÝ;;;
296;pi?na fi?ber havuz si?stemleri?;http://www.pinahavuz.com; BANYO, MUTFAK, HAVUZ VE SPA;;;;
297;pinardað endüstri? enj. orman ürn. i?thalat ve i?hracat ltd. þti?.;https://www.pnrdoor.com;;;;;
298;pi?vot door;https://www.pivotdoor.com.tr; KAPI, GEÇÝÞ, AKTARIM VE BÝNA OTOMASYON SÝSTEMLERÝ;;;;
299;plasmet yapi;http://www.dnc.com.tr; AYDINLATMA VE ELEKTRÝK;CEPHE VE ÇATI;ISITMA, HAVALANDIRMA, ÝKLÝMLENDÝRME, SU TEKNOLOJÝLERÝ VE ENERJÝ;YANGIN GÜVENLÝÐI, GÜVENLÝK VE ÝÞ GÜVENLÝÐÝ;
300;polde plasti?k san. ve ti?c. a.þ.;NaN;;;;;
301;polure;https://www.polure.com; BÝNA ÝÇÝ TASARIM VE DEKORASYON;CEPHE VE ÇATI;HÝZMETLER;;
302;polyfibers;http://www.polyfibers.com; YAPI KÝMYASALLARI VE YALITIM;YAPI MALZEMELERÝ VE YAPIM SÝSTEMLERÝ;;;
303;porti?san portati?f çeli?k i?skele kalip san. ve ti?c. a.þ.;https://www.portisan.com.tr; MAKÝNE, EKÝPMAN VE BÝLÝÞÝM;YAPI MALZEMELERÝ VE YAPIM SÝSTEMLERÝ;;;
304;porvi?l çati malz. üreti?m paz. san. ve ti?c. ltd. þti?.;http://www.porvil.com; CEPHE VE ÇATI;;;;
305;potech maki?na i?malat san.ti?c.ltd.þti?;http://www.potech.com.tr; MAKÝNE, EKÝPMAN VE BÝLÝÞÝM;;;;
306;pro brixia;NaN;;;;;
307;promast ki?mya san. ve ti?c. a.þ.;http://www.promast.com.tr; YANGIN GÜVENLÝÐI, GÜVENLÝK VE ÝÞ GÜVENLÝÐÝ;YAPI KÝMYASALLARI VE YALITIM;;;
308;proplas profi?l plasti?k;http://www.proplas.com.tr; BANYO, MUTFAK, HAVUZ VE SPA;BOYALAR VE BÝTÝRME;YAPI KÝMYASALLARI VE YALITIM;YAPI MALZEMELERÝ VE YAPIM SÝSTEMLERÝ;
309;proplast kapi pencere si?st. paz. san. ve ti?c. ltd. þti?.;https://www.proplastpvc.com;;;;;
310;protan turkey yalitim sanayi? ve ti?caret a.þ.;http://www.protanturkey.com; CEPHE VE ÇATI;YAPI KÝMYASALLARI VE YALITIM;YAPI MALZEMELERÝ VE YAPIM SÝSTEMLERÝ;;
311;protech global yalitim;https://www.protechglobal.com.tr; CEPHE VE ÇATI;ISITMA, HAVALANDIRMA, ÝKLÝMLENDÝRME, SU TEKNOLOJÝLERÝ VE ENERJÝ;YAPI KÝMYASALLARI VE YALITIM;YAPI MALZEMELERÝ VE YAPIM SÝSTEMLERÝ;
312;pt dextone lemindo;NaN;;;;;
313;qatar development bank;https://www.qdb.qa;;;;;
314;qb i?nþaat mi?m. müh. emlak daniþm. mob. i?nþ. malz. san. ve ti?c. ltd. þti?.;NaN;;;;;
315;quanzhou city sanlian machinery manufacture co ltd.;http://www.sl-machine.com; MAKÝNE, EKÝPMAN VE BÝLÝÞÝM;;;;
